path	size_bytes	line_count	extension	notes
modules/returns_intelligence/__init__.py	35	1	.py	
modules/returns_intelligence/features/README.md	373	12	.md	readme
modules/returns_intelligence/features/customer_return_features.sql	1708	42	.sql	
modules/returns_intelligence/main.py	249	15	.py	
modules/returns_intelligence/router.py	3470	92	.py	
modules/returns_intelligence/schemas.py	1620	62	.py	
modules/returns_intelligence/service.py	25709	752	.py	
modules/sales_anomaly_intelligence/Dockerfile	219	7	[no_ext]	
modules/sales_anomaly_intelligence/README.md	552	15	.md	readme
modules/sales_anomaly_intelligence/__init__.py	35	1	.py	
modules/sales_anomaly_intelligence/main.py	255	15	.py	
modules/sales_anomaly_intelligence/router.py	1988	52	.py	
modules/sales_anomaly_intelligence/schemas.py	762	32	.py	
modules/sales_anomaly_intelligence/service.py	5164	147	.py	
modules/seasonality_intelligence/Dockerfile	217	7	[no_ext]	
modules/seasonality_intelligence/README.md	520	15	.md	readme
modules/seasonality_intelligence/__init__.py	35	1	.py	
modules/seasonality_intelligence/main.py	253	15	.py	
modules/seasonality_intelligence/router.py	1915	52	.py	
modules/seasonality_intelligence/schemas.py	745	31	.py	
modules/seasonality_intelligence/service.py	5324	149	.py	
modules/shipment_risk/Dockerfile	277	9	[no_ext]	
modules/shipment_risk/README.md	577	15	.md	readme
modules/shipment_risk/__init__.py	85	5	.py	
modules/shipment_risk/dbt_models/schema.yml	120	5	.yml	
modules/shipment_risk/dbt_models/shipment_risk_features.sql	921	38	.sql	
modules/shipment_risk/features/README.md	354	12	.md	readme
modules/shipment_risk/features/shipment_delay_features.sql	2666	75	.sql	
modules/shipment_risk/main.py	242	15	.py	
modules/shipment_risk/router.py	3076	88	.py	
modules/shipment_risk/schemas.py	2066	76	.py	
modules/shipment_risk/service.py	29591	845	.py	
modules/stockout_intelligence/Dockerfile	285	9	[no_ext]	
modules/stockout_intelligence/README.md	580	15	.md	readme
modules/stockout_intelligence/__init__.py	85	5	.py	
modules/stockout_intelligence/features/README.md	376	12	.md	readme
modules/stockout_intelligence/features/inventory_position_daily.sql	948	41	.sql	
modules/stockout_intelligence/features/stockout_features.sql	1515	54	.sql	
modules/stockout_intelligence/main.py	250	15	.py	
modules/stockout_intelligence/router.py	2319	64	.py	
modules/stockout_intelligence/schemas.py	1084	43	.py	
modules/stockout_intelligence/service.py	20678	627	.py	
modules/streaming/Dockerfile	273	9	[no_ext]	
modules/streaming/README.md	442	12	.md	readme
